,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB,Batting Team,Bowling Team,Match ID,Match Info,Match No,Season
1,B Lee,4,0,19,0,4.75,,,,0,0,Brisbane Heat,Sydney Sixers,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
2,MA Starc,4,0,28,2,7,,,,1,0,Brisbane Heat,Sydney Sixers,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
3,JR Hazlewood,4,0,24,2,6,,,,0,0,Brisbane Heat,Sydney Sixers,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
4,DJ Bravo,2,0,20,1,10,,,,1,0,Brisbane Heat,Sydney Sixers,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
5,SCG MacGill,4,0,21,2,5.25,,,,2,0,Brisbane Heat,Sydney Sixers,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
6,SPD Smith,2,0,25,1,12.5,,,,0,0,Brisbane Heat,Sydney Sixers,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
1,NM Hauritz,3,0,23,0,7.66,,,,0,0,Sydney Sixers,Brisbane Heat,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
2,AC McDermott,3,0,33,1,11,,,,1,0,Sydney Sixers,Brisbane Heat,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
3,DT Christian,4,0,20,1,5,,,,0,0,Sydney Sixers,Brisbane Heat,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
4,JR Hopes,3.4,0,29,1,7.9,,,,0,0,Sydney Sixers,Brisbane Heat,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
5,ND Buchanan,2,0,21,0,10.5,,,,1,0,Sydney Sixers,Brisbane Heat,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
6,CA Lynn,3,0,14,0,4.66,,,,0,0,Sydney Sixers,Brisbane Heat,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
1,CH Gayle,3,0,15,0,5,,,,1,0,Melbourne Stars,Sydney Thunder,524916," (N)Big Bash League at Melbourne, Dec 17 2011 | Match Summary | ESPNCricinfo",2,1
